feature_name,production_group,ieee_source,mapping_type,trainable,mapping_quality,reason
device_unique_customers_24h,Device Fingerprint History,"None (no true customer_id, non-unique DeviceInfo)",None,IEEE_UNAVAILABLE,None,IEEE-CIS contains neither true customer identifiers nor unique hardware IDs; impossible to compute device-sharing accurately.
device_unique_cards_24h,Device Fingerprint History,DeviceInfo + card1 + TransactionDT,Low-Coverage Coarse Aggregate,IEEE_AMBIGUOUS,Low,Coarse DeviceInfo ('Windows') falsely aggregates thousands of unrelated cards under the same device bucket.
device_is_new,Device Fingerprint History,DeviceInfo + TransactionDT,Low-Coverage String First-Seen,IEEE_AMBIGUOUS,Low,"Coarse device strings ('iOS Device') become permanently 'old' after the first few thousand rows, zeroing out utility."
merchant_tx_count_1h,Merchant Risk & History,None (no merchant_id),None,IEEE_UNAVAILABLE,None,IEEE-CIS contains no merchant identifier or store ID column; cannot use ProductCD as a merchant proxy.
merchant_tx_count_24h,Merchant Risk & History,None (no merchant_id),None,IEEE_UNAVAILABLE,None,IEEE-CIS contains no merchant identifier or store ID column.
merchant_amount_mean,Merchant Risk & History,None (no merchant_id),None,IEEE_UNAVAILABLE,None,IEEE-CIS contains no merchant identifier or store ID column.
merchant_amount_std,Merchant Risk & History,None (no merchant_id),None,IEEE_UNAVAILABLE,None,IEEE-CIS contains no merchant identifier or store ID column.
customer_merchant_tx_count,Merchant Risk & History,"None (no customer_id, no merchant_id)",None,IEEE_UNAVAILABLE,None,Neither customer nor merchant exists in IEEE-CIS dataset.
customer_merchant_is_new,Merchant Risk & History,"None (no customer_id, no merchant_id)",None,IEEE_UNAVAILABLE,None,Neither customer nor merchant exists in IEEE-CIS dataset.
ip_tx_count_5m,Client IP Network History,None (no IP address column),None,IEEE_UNAVAILABLE,None,IEEE-CIS completely omitted IP addresses for privacy; impossible to calculate IP network velocity.
ip_tx_count_1h,Client IP Network History,None (no IP address column),None,IEEE_UNAVAILABLE,None,IEEE-CIS completely omitted IP addresses for privacy.
ip_tx_count_24h,Client IP Network History,None (no IP address column),None,IEEE_UNAVAILABLE,None,IEEE-CIS completely omitted IP addresses for privacy.
ip_unique_customers_24h,Client IP Network History,"None (no IP address, no customer_id)",None,IEEE_UNAVAILABLE,None,Neither IP address nor customer_id exists in IEEE-CIS.
ip_unique_cards_24h,Client IP Network History,None (no IP address column),None,IEEE_UNAVAILABLE,None,No IP address column available to calculate distinct payment cards tested.
ip_unique_devices_24h,Client IP Network History,None (no IP address column),None,IEEE_UNAVAILABLE,None,No IP address column available in IEEE-CIS dataset.
ip_is_new,Client IP Network History,None (no IP address column),None,IEEE_UNAVAILABLE,None,No IP address column available in IEEE-CIS dataset.
customer_device_seen_before,Cross-Entity Relationship Features,pseudo-UID + DeviceInfo (24.4% coverage),Low-Coverage Heuristic Co-occurrence,IEEE_AMBIGUOUS,Low,Relies on pseudo-UID and coarse DeviceInfo; missing on 75.6% of transactions.
customer_card_seen_before,Cross-Entity Relationship Features,pseudo-UID + card1,Tautological Heuristic,IEEE_AMBIGUOUS,Low,"Because pseudo-UID is partially defined by card1, customer-card co-occurrence becomes largely tautological."
customer_merchant_seen_before,Cross-Entity Relationship Features,None (no merchant_id),None,IEEE_UNAVAILABLE,None,No merchant_id column exists in IEEE-CIS.
customer_ip_seen_before,Cross-Entity Relationship Features,None (no ip_address),None,IEEE_UNAVAILABLE,None,No ip_address column exists in IEEE-CIS.
card_device_seen_before,Cross-Entity Relationship Features,card1 + DeviceInfo (24.4% coverage),Low-Coverage Co-occurrence,IEEE_AMBIGUOUS,Low,DeviceInfo only present in 24.4% of transactions; non-unique device strings create false co-occurrence.
card_ip_seen_before,Cross-Entity Relationship Features,None (no ip_address),None,IEEE_UNAVAILABLE,None,No ip_address column exists in IEEE-CIS.
rapid_transaction_flag,Velocity & Burst Features,pseudo-UID + TransactionDT,Pseudo-UID Temporal Delta (delta_sec <= 60s),IEEE_AMBIGUOUS,Low,"Calculable using TransactionDT seconds delta, but completely reliant on accuracy of synthetic pseudo-UID grouping."
transactions_last_15m,Velocity & Burst Features,pseudo-UID + TransactionDT,Pseudo-UID Temporal Window (t_curr - 900s),IEEE_AMBIGUOUS,Low,"Calculable using TransactionDT window, but reliant on synthetic pseudo-UID grouping."
amount_sum_last_1h,Velocity & Burst Features,pseudo-UID + TransactionAmt + TransactionDT,Pseudo-UID Temporal Sum (t_curr - 3600s),IEEE_AMBIGUOUS,Low,"Calculable using TransactionDT window, but reliant on synthetic pseudo-UID grouping."
amount_sum_last_24h,Velocity & Burst Features,pseudo-UID + TransactionAmt + TransactionDT,Pseudo-UID Temporal Sum (t_curr - 86400s),IEEE_AMBIGUOUS,Low,"Calculable using TransactionDT window, but reliant on synthetic pseudo-UID grouping."
